,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
133,SP1,2012-12-01,Barcelona,Ath Bilbao,5,1,H,3,0,H,19,6,10,2,7,10,3,1,1,3,0,0,1.09,10.0,21.0
134,SP1,2012-12-01,Getafe,Malaga,1,0,H,0,0,D,13,8,3,5,15,11,5,5,1,4,1,0,2.6,3.25,2.7
135,SP1,2012-12-02,Celta,Levante,1,1,D,1,0,H,18,8,8,2,11,11,7,1,3,3,0,0,2.0,3.5,3.6
136,SP1,2012-12-02,Mallorca,Zaragoza,1,1,D,0,1,A,19,2,7,2,19,8,9,0,3,3,0,1,2.0,3.5,3.6
137,SP1,2012-12-02,La Coruna,Betis,2,3,A,0,1,A,17,12,7,7,9,16,12,5,3,5,0,0,2.1,3.4,3.4
138,SP1,2012-12-02,Granada,Espanol,0,0,D,0,0,D,24,12,7,2,14,22,11,2,0,4,0,0,2.05,3.4,3.5
139,SP1,2012-12-03,Sevilla,Valladolid,1,2,A,0,2,A,21,17,4,7,20,18,9,1,2,6,1,0,1.7,3.75,4.75
140,SP1,2012-12-07,Espanol,Sevilla,2,2,D,1,1,D,11,6,3,4,24,23,4,3,5,3,0,1,2.8,3.3,2.5
141,SP1,2012-12-08,Valladolid,Real Madrid,2,3,A,2,2,D,10,20,4,13,17,14,6,11,3,3,0,0,10.0,6.0,1.25
142,SP1,2012-12-08,Malaga,Granada,4,0,H,2,0,H,20,22,9,8,17,8,3,7,3,0,0,0,1.44,4.33,7.0
143,SP1,2012-12-08,Osasuna,Valencia,0,1,A,0,0,D,11,10,4,3,18,12,6,5,2,2,0,0,2.63,3.3,2.63
144,SP1,2012-12-08,Sociedad,Getafe,1,1,D,0,0,D,10,15,3,2,16,19,6,6,2,6,0,0,1.91,3.3,4.2
145,SP1,2012-12-09,Ath Bilbao,Celta,1,0,H,1,0,H,10,11,2,1,16,20,7,6,3,3,0,0,1.83,3.75,4.0
146,SP1,2012-12-09,Levante,Mallorca,4,0,H,1,0,H,14,15,9,2,10,13,8,5,0,1,0,0,2.0,3.2,4.0
147,SP1,2012-12-09,Betis,Barcelona,1,2,A,1,2,A,9,13,3,8,17,11,4,5,3,2,0,0,9.0,5.5,1.3
148,SP1,2012-12-09,Ath Madrid,La Coruna,6,0,H,3,0,H,14,9,9,1,8,11,5,7,0,2,0,0,1.29,5.5,10.0
